file_name,baseline_total,baseline_redteam_pct,duration_only_total,duration_only_redteam_pct,agg_total,agg_redteam_pct
flows_redteam_zone_chunk_1.txt,10000,39.14,3693,43.38,1038,42.87
flows_redteam_zone_chunk_2.txt,10000,41.29,3510,47.01,937,45.36
flows_redteam_zone_chunk_3.txt,10000,40.67,4032,41.89,1137,39.31
flows_redteam_zone_chunk_4.txt,10000,18.73,1563,43.57,466,43.78
flows_redteam_zone_chunk_5.txt,10000,38.79,3813,45.66,994,43.16
flows_redteam_zone_chunk_6.txt,10000,36.34,4029,43.44,1050,41.14
flows_redteam_zone_chunk_7.txt,10000,39.98,4171,45.05,1056,43.28
flows_redteam_zone_chunk_8.txt,10000,37.62,3498,48.54,899,46.38
