file_name,baseline_total,baseline_redteam_pct,end_only_total,end_only_redteam_pct,agg_total,agg_redteam_pct
proc_redteam_zone_chunk_1.txt,10000,10.5,2286,21.08,1203,19.95
proc_redteam_zone_chunk_2.txt,10000,12.27,2234,24.26,1088,22.98
proc_redteam_zone_chunk_3.txt,10000,9.76,2166,20.54,1110,18.38
proc_redteam_zone_chunk_4.txt,10000,10.47,2283,21.29,1126,20.96
proc_redteam_zone_chunk_5.txt,10000,12.3,2401,23.53,1121,23.55
proc_redteam_zone_chunk_6.txt,10000,12.06,2405,23.28,1102,21.78
proc_redteam_zone_chunk_7.txt,10000,12.57,2638,22.44,1191,20.91
proc_redteam_zone_chunk_8.txt,10000,13.87,2516,26.23,1125,22.04
