file_name,normalized_total,normalized_redteam_related,normalized_redteam_pct,aggregated_total,aggregated_redteam_related,aggregated_redteam_pct,redteam_pct_change
auth_redteam_zone_chunk_1.txt,10000,7445,74.45,9476,7022,74.1,-0.35
auth_redteam_zone_chunk_2.txt,10000,7522,75.22,9534,7138,74.87,-0.35
auth_redteam_zone_chunk_3.txt,10000,7391,73.91,9401,6927,73.68,-0.23
auth_redteam_zone_chunk_4.txt,10000,7136,71.36,9549,6794,71.15,-0.21
auth_redteam_zone_chunk_5.txt,10000,7309,73.09,9355,6895,73.7,0.61
auth_redteam_zone_chunk_6.txt,10000,6748,67.48,9406,6417,68.22,0.74
auth_redteam_zone_chunk_7.txt,10000,7278,72.78,9532,6951,72.92,0.14
auth_redteam_zone_chunk_8.txt,10000,7428,74.28,9482,7107,74.95,0.67
